Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
13-01-2018,SRILANKANUPGRADE KATUNAYAKE         EUR,9,,INR,Rahul,Domestic,EUR
14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE      USD,,6,INR,Rahul,Domestic,USD
17-01-2018,FOOT RUB BERLIN                  EUR,19,,INR,Rahul,Domestic,EUR
28-01-2018,INDIAN RAILWAY CATERINGNEW DELHI,1099,,INR,Rahul,Domestic,DELHI
28-01-2018,FLIPKART INTERNET PRIVA BANGALORE,34980,,INR,Rahul,Domestic,BANGALORE
28-01-2018,TIPSY CATERERS JAIPUR,660,,INR,Rahul,Domestic,JAIPUR
28-01-2018,California Games CALIFORNIA         USD,108,,INR,Rahul,Domestic,USD
29-01-2018,MAKEMYTRIP INDIA PVT LT NEW DELHI,57181,,INR,Rahul,Domestic,DELHI
29-01-2018,INDIAN RAILWAY CATERINGNEW DELHI,,3390,INR,Rahul,Domestic,DELHI
29-01-2018,MAKEMYTRIP INDIA PVT LT NEW DELHI,,53326,INR,Rahul,Domestic,DELHI
30-01-2018,INDIAN RAILWAY CATERING NEW DELHI,,680,INR,Rahul,Domestic,DELHI
30-01-2018,NewYorkShop NEWYORK                 USD,219,,INR,Rahul,Domestic,USD
03-02-2018,EURO WINGS DUSSELDOR                EUR,8,,INR,Rahul,Domestic,EUR
09-02-2018,SILVER GALERIE A UNIT    GURGAON,1250,,INR,Ritu,Domestic,GURGAON
18-02-2018,DECATHLON SPORTS INDIA GURGAON,949,,INR,Ritu,Domestic,GURGAON
22-02-2018,FEETOES GURGAON,,1845,INR,Ritu,Domestic,GURGAON
26-02-2018,MONTE CARLO            GURGAON,,413,INR,Ritu,Domestic,GURGAON
28-02-2018,DNA PHARMACY           GURUGRAM,,1650,INR,Ritu,Domestic,GURUGRAM
28-02-2018,THE ROOM               GURGAON,,456,INR,Ritu,Domestic,GURGAON
28-02-2018,LITTLE BURGUNDY        GURGAON,1938,,INR,Ritu,Domestic,GURGAON
