Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
30-01-2017,SRILANKANUPGRADE KATUNAYAKE,6,,EUR,Raj,International,KATUNAYAKE
14-01-2018,HEALTHGUARD LIMITED KATUNAYAKE,,15,USD,Raj,International,KATUNAYAKE
19-01-2018,FOOT RUB BERLIN,26,,EUR,Raj,International,BERLIN
20-01-2018,California Games CALIFORNIA,107,,USD,Raj,International,CALIFORNIA
30-01-2018,NewYorkShop NEWYORK,210,,USD,Raj,International,NEWYORK
08-02-2018,EURO WINGS DUSSELDOR,15,,EUR,Raj,International,DUSSELDOR
12-03-2018,Amazon Cash Back Jan 18            ,213,,INR,Rahul,Domestic,18
16-03-2018,SUBWAY GURGAON                     ,,230,INR,Rahul,Domestic,GURGAON
18-03-2018,NIMITAYA HOTEL & RESOR GURGAON     ,,3415,INR,Rahul,Domestic,GURGAON
18-03-2018,BIRYANI PARADISE GURGAON           ,,335,INR,Rahul,Domestic,GURGAON
19-03-2018,AIRTEL PAYMENT MUMBAI              ,880,,INR,Rahul,Domestic,MUMBAI
19-03-2018,AIRTEL PAYMENT MUMBAI              ,, 1297,INR,Rahul,Domestic,MUMBAI
19-03-2018,AMAZON SELLER SERVICES MUMBAI      ,41499,,INR,Raj,Domestic,MUMBAI
19-03-2018,ICICI PRUDENTIAL LIFE MUMBAI       ,35935,,INR,Raj,Domestic,MUMBAI
20-03-2018,CARNIVAL CINEMAS NEEMU GURGAON     ,110,,INR,Raj,Domestic,GURGAON
23-03-2018,BIRYANI PARADISE GURGAON           ,219,,INR,Raj,Domestic,GURGAON
25-03-2018,SRS CINEMAS GURGAON                ,,155,INR,Raj,Domestic,GURGAON
25-03-2018,SRS CINEMAS GURGAON                ,,1440,INR,Raj,Domestic,GURGAON
25-03-2018,NIMITAYA HOTEL & RESOR GURGAON     ,3414,,INR,Raj,Domestic,GURGAON
26-03-2018,KABI BESPOKE BOUTIQUE GURGAON      ,,270,INR,Raj,Domestic,GURGAON
27-03-2018,PAYTM NOIDA                        ,2941,,INR,Raj,Domestic,NOIDA
27-03-2018,AMAZON SELLER SERVICES MUMBAI      ,416,,INR,Raj,Domestic,MUMBAI
28-03-2018,www.vodafone.in MUMBAI             ,500,0,INR,Raj,Domestic,MUMBAI
